t,ret,sigma2_true
1,-0.0023932451567351192,8.359738505584084e-05
2,-0.0007760053333677349,7.156838698681936e-05
3,-0.002513179067952465,6.341186821244778e-05
4,-0.006747791318780991,5.9340430400322754e-05
5,0.0005885921683722813,6.235533347378901e-05
6,-0.00801209423109691,5.816892350199893e-05
7,0.01877015863359689,6.549960122664257e-05
8,0.011767017963727698,0.00012159632671594657
9,-0.019325746589358452,0.00010668794052070814
10,0.0002799192962426272,0.00015350319122348367
11,-0.0014932539331900486,0.00011446400890398266
12,-0.003449434220881978,8.975066220049988e-05
13,-0.013866489534366887,7.604199578172701e-05
14,0.013911801003134825,9.4063113851892e-05
15,-0.01357065870122598,0.00011637747867997511
16,-0.010143711212479915,0.00012826078733678154
17,0.008879046009144943,0.00010832003884601498
18,-0.009534807166863994,0.00010227648209727303
19,0.0019105615130994799,0.00010018609316634461
20,0.009326318384900775,8.238733010717271e-05
21,-0.00852801659434184,8.275552798532724e-05
22,-0.011266799886563188,8.531077915133908e-05
23,0.013061784557158361,8.753094567598176e-05
24,0.0010964344886863159,0.00010661140863896646
25,-0.012788454187860673,8.47113397234106e-05
26,-0.002932803440952833,9.752624656618622e-05
27,0.0033947960455947435,7.931453857154834e-05
28,0.01816483462810272,7.034461970244298e-05
29,-0.014871171056295608,0.0001115109258594962
30,0.002609894576023696,0.00013510826402335195
31,0.010496458604947698,0.0001053656022544172
32,0.019672642978359797,9.989541958975365e-05
33,0.012091224950239635,0.0001322502053212933
34,-0.00858062136082581,0.00011371216078124109
35,-0.004112106654722874,0.00010547021617401478
36,-0.0014062269372027275,8.524558717164755e-05
37,0.003140371968203083,7.177888179088314e-05
38,-2.041835796142394e-05,6.525167235092517e-05
39,0.00554116964424624,5.9586642374384685e-05
40,-0.008383526643299851,6.092179373885151e-05
41,0.002290094574115114,7.005777916842037e-05
42,-0.0072799843327532535,6.435286707124846e-05
43,0.0036168224158190376,6.804198012029336e-05
44,-0.007775728628388595,6.461651025422043e-05
45,0.006669256968742178,6.989820319380915e-05
46,-0.005854845370239095,7.179832052650111e-05
47,0.00694026523935698,7.074072742658897e-05
48,0.003432792215016357,7.230798001508121e-05
49,-0.00028157637954960747,6.476973217598297e-05
50,-0.00521077094309672,5.9352683926380824e-05
51,0.004545786099664092,6.01553492872627e-05
52,0.0022474025919570384,6.082341604530411e-05
53,0.00981544639161122,5.7271278273314196e-05
54,-0.011667454816796817,6.881124876624623e-05
55,-0.00045288581405273823,8.833947760896894e-05
56,-0.004058634775276,7.377133429094026e-05
57,-0.01686885415265012,6.721063550472387e-05
58,0.013515001325163757,0.00010223199986269208
59,0.0028300830809143474,0.0001214654639191564
60,0.004475093438898937,9.375988145025999e-05
61,0.014513540540847043,7.94284543747386e-05
62,-0.007165091160243522,9.825463389986382e-05
63,0.0063947725647502274,9.282948920891989e-05
64,-0.008745283641026221,8.484288507976786e-05
65,-0.010558558308033338,8.597599470497685e-05
66,0.000695188787418227,8.569597277619492e-05
67,-0.011873585287410754,7.269300603080124e-05
68,-0.002255527932342742,8.645877248418621e-05
69,-0.0006295309506550624,7.246002179015821e-05
70,-0.0025176517139875055,6.393748434678811e-05
71,0.00956997188307691,5.967804348162745e-05
72,-0.004676196680439744,7.156874157903931e-05
73,0.003940101896850063,6.906091807482769e-05
74,0.003340252892463962,6.516962486911766e-05
75,-0.007025965583027503,6.071386593109145e-05
76,0.0040774920448893425,6.558692755397149e-05
77,-0.0036706609474433096,6.377322758401729e-05
78,0.010527390980804583,6.147497050136456e-05
79,-0.006003977923101492,7.632929971693452e-05
80,0.009241831202708281,7.503744666912814e-05
81,0.006747181174476018,8.139352319398756e-05
82,0.0003919466709688013,7.396374921705741e-05
83,0.011766700444204371,6.488315344413813e-05
84,0.014804486052461109,8.076071488134614e-05
85,0.013216444023606996,9.593999493794803e-05
86,0.003629301972538319,9.749202334737825e-05
87,0.015550432294736119,7.958074387402929e-05
88,0.013770907072832867,0.00010357241024850051
89,-0.0024111278447072806,0.00010371113202507942
90,-0.0017271795458296078,8.583194775880393e-05
