t,ret,sigma2_true
1,0.0002543923626657736,0.0001
2,0.008619585744781307,0.0001
3,0.0021350826140928546,0.0001
4,-0.0075207094190721515,0.0001
5,0.0005287486337999251,0.0001
6,0.01265229139240633,0.0001
7,-0.013409347161757616,0.0001
8,-0.00989430238605172,0.0001
9,0.01585555553752421,0.0001
10,0.0035540794851877068,0.0001
11,-0.0057207048897400985,0.0001
12,-0.0031517571416259903,0.0001
13,-0.011669080363966149,0.0001
14,0.0011423810472463534,0.0001
15,-0.003086405704876725,0.0001
16,0.0007480475753740049,0.0001
17,0.013625596313000263,0.0001
18,-0.01634482587770181,0.0001
19,0.003222173549385588,0.0001
20,0.0014189456204080964,0.0001
21,0.012060690591288302,0.0001
22,0.007697697170563982,0.0001
23,0.007683829622770889,0.0001
24,0.009217343451378746,0.0001
25,-0.0013840509601946238,0.0001
26,0.0062234223819352995,0.0001
27,0.012723367465000864,0.0001
28,0.018634487258813642,0.0001
29,0.00686815136477682,0.0001
30,0.002804875347137567,0.0001
31,-0.006128996968059033,0.0001
32,0.0007008136040703346,0.0001
33,0.003311079034554145,0.0001
34,0.006702327998365155,0.0001
35,-0.005215185865044306,0.0001
36,-0.01581752916014456,0.0001
37,-0.0053840234595645955,0.0001
38,-0.00651274072604083,0.0001
39,0.008085251308727717,0.0001
40,-0.00999846816784536,0.0001
41,-0.003223928619964717,0.0001
42,0.000836475656509939,0.0001
43,0.011581107722199509,0.0001
44,-0.015591170418943034,0.0001
45,0.001745610884982775,0.0001
46,0.012040923950332563,0.0001
47,0.015901485951385814,0.0001
48,-0.009221867254399807,0.0001
49,-0.03467523273855796,0.0001
50,-0.019886568931438663,0.0001
51,-0.015848170660913884,0.0001
52,-0.015547625800742955,0.0001
53,-0.016463934173929325,0.0001
54,0.0008831181795940443,0.0001
55,0.010014292793753226,0.0001
56,0.012828823659461348,0.0001
57,0.008204606491306585,0.0001
58,-0.010095392835203125,0.0001
59,-0.004173023769735475,0.0001
60,-6.691440610627021e-05,0.0001
61,-0.005458277525314576,0.0001
62,-0.0053475954695006,0.0001
63,-0.0022279088592879128,0.0001
64,0.009300598340848383,0.0001
65,-0.007739628154870002,0.0001
66,-0.00601199216269811,0.0001
67,-0.010846628075665,0.0001
68,-0.0005540785458282067,0.0001
69,-0.004526042191453904,0.0001
70,-0.006301123660215651,0.0001
71,-0.010739039583586376,0.0001
72,-0.008087951027578035,0.0001
73,0.0018269293047585824,0.0001
74,-0.008458195184320902,0.0001
75,0.0032724052959052998,0.0001
76,0.001284056954724363,0.0001
77,0.03404381024487103,0.0001
78,-0.007998627167599833,0.0001
79,-0.007530906386437648,0.0001
80,-0.004044217466920551,0.0001
81,-0.020987651931480996,0.0001
82,-0.01261418170276178,0.0001
83,0.021514098489092727,0.0001
84,0.00499848615182803,0.0001
85,-0.0009962893677570811,0.0001
86,-0.008866774067760754,0.0001
87,0.00563422127493248,0.0001
88,-0.0052150443803156855,0.0001
89,0.0026982484554400536,0.0001
90,0.006006051889607466,0.0001
91,-0.018972549618267484,0.0001
92,-0.003891069628023849,0.0001
93,-0.00703187148755954,0.0001
94,-0.00017792779467069685,0.0001
95,-0.02437389824107961,0.0001
96,0.01808080595607509,0.0001
97,0.012630242006107071,0.0001
98,0.00673916950254478,0.0001
99,-0.013336868466569765,0.0001
100,0.0024306884439693997,0.0001
101,-0.0010899819785588258,0.0001
102,0.016913357087757843,0.0001
103,-0.020804865390721232,0.0001
104,-0.013835551641889161,0.0001
105,0.004332026034841366,0.0001
106,-0.0018751969954662585,0.0001
107,-0.010027176188538664,0.0001
108,-0.015227751021469772,0.0001
109,-0.005295260326262221,0.0001
110,0.005697988215465723,0.0001
111,-0.007964102869537014,0.0001
112,0.011130815348999498,0.0001
113,0.017530750647965054,0.0001
114,-0.010952422762082975,0.0001
115,-0.009509439972225834,0.0001
116,0.014395765849210613,0.0001
117,-0.01008568288553213,0.0001
118,0.002576873869935022,0.0001
119,0.004700351899424592,0.0001
120,0.008661588307942874,0.0001
121,0.0038369838241325543,0.0001
122,-0.006647170129230765,0.0001
123,-0.006882541207666122,0.0001
124,-0.0037017595790324333,0.0001
125,-0.0025466981523117062,0.0001
126,-0.010389262808451646,0.0001
127,0.002287535468698802,0.0001
128,0.004591114163036427,0.0001
129,-0.007915551227919114,0.0001
130,0.0011240385548412204,0.0001
131,-0.015302488858599375,0.0001
132,0.006774359445321867,0.0001
133,0.009138003294499515,0.0001
134,-0.006357517390747853,0.0001
135,-0.011955727380567709,0.0001
136,0.0035989994578522013,0.0001
137,-0.00870654192326638,0.0001
138,0.0076843253470153606,0.0001
139,-0.016158754859720154,0.0001
140,-0.0024133353458356257,0.0001
141,-0.01835829711570183,0.0001
142,-0.004807543336931182,0.0001
143,-0.0032198636635457386,0.0001
144,0.008163743570050692,0.0001
145,0.015126620906236978,0.0001
146,-0.006428238220962355,0.0001
147,-0.0037208351050945355,0.0001
148,0.013455322926141669,0.0001
149,-0.009973054349822676,0.0001
150,0.004540494539307827,0.0001
151,0.0012788211052479365,0.0001
152,-0.005667434317656888,0.0001
153,0.005918078727116276,0.0001
154,-0.0030657026586977387,0.0001
155,0.0005866310006422873,0.0001
156,-0.008522892207344658,0.0001
157,0.010621500656240537,0.0001
158,0.021242413761823304,0.0001
159,0.0038767225563086393,0.0001
160,0.005623573494072336,0.0001
161,-0.000923978158482535,0.0001
162,0.0032513728603923786,0.0001
163,0.012182794796927776,0.0001
164,0.0029771186061583166,0.0001
165,-0.007690741818780608,0.0001
166,0.004749643803799156,0.0001
167,-0.005236904743136381,0.0001
168,-0.002875443329305588,0.0001
169,-0.01514211654155645,0.0001
170,0.002839886695183769,0.0001
171,-0.019400814644728242,0.0001
172,-0.004982707792280938,0.0001
173,0.0015084626721839317,0.0001
174,0.020049890065223504,0.0001
175,-0.009641535337283179,0.0001
176,0.013139291903810768,0.0001
177,0.0025855901579261127,0.0001
178,-0.001782162499169888,0.0001
179,0.004961593219019639,0.0001
180,0.023753495643908905,0.0001
181,-0.000589366339517744,0.0001
182,0.0009446245689688808,0.0001
183,-0.010856281502429208,0.0001
184,-0.0023066279709431817,0.0001
185,0.002884665414496797,0.0001
186,0.016424554402547146,0.0001
187,-0.007246738370499549,0.0001
188,0.000968568468832501,0.0001
189,0.011165291675918206,0.0001
190,0.0016016337034243156,0.0001
191,-0.0034673806897035932,0.0001
192,-0.003981593218013357,0.0001
193,-0.011000186675608236,0.0001
194,0.003298148272684768,0.0001
195,-0.003613867957968732,0.0001
196,-0.00475368861367856,0.0001
197,0.009045563538526829,0.0001
198,0.01050062574937147,0.0001
199,0.015376326515395647,0.0001
200,0.0009524478126758303,0.0001
201,0.0025119444671733364,0.0001
202,-0.00994659314472817,0.0001
203,-0.004689836352092548,0.0001
204,0.004760370026525031,0.0001
205,0.0076962688994026566,0.0001
206,0.004996300113630571,0.0001
207,0.00105301133476269,0.0001
208,-0.008188919362115915,0.0001
209,-0.008424964951228466,0.0001
210,-0.017295365487702965,0.0001
211,0.008044993505563616,0.0001
212,0.009450132933021828,0.0001
213,-0.00995070924291081,0.0001
214,0.016035973582733773,0.0001
215,-0.01069546426545237,0.0001
216,0.007992660720560544,0.0001
217,-0.0007745824888917894,0.0001
218,0.006558188674258975,0.0001
219,-0.007905218485955162,0.0001
220,0.016954409884834768,0.0001
221,0.006689030311834666,0.0001
222,-0.0010299395251970875,0.0001
223,-0.0009314924032310781,0.0001
224,-0.0014206149749384283,0.0001
225,0.01756745517971809,0.0001
226,0.0029184181935730125,0.0001
227,0.004069707098922197,0.0001
228,-0.007721561356949591,0.0001
229,-0.00882682273662265,0.0001
230,-0.009500748587801748,0.0001
231,-0.003066042959929987,0.0001
232,0.004116406485507143,0.0001
233,0.008929013864263894,0.0001
234,-0.014314795208827044,0.0001
235,0.0030609526771007995,0.0001
236,0.0008104424342995218,0.0001
237,0.013890730040939776,0.0001
238,-0.02108622556149195,0.0001
239,-0.000775799618993884,0.0001
240,-0.010717000642074162,0.0001
241,-0.0072734303617907805,0.0001
242,-0.02087287554797127,0.0001
243,0.0060994497835832615,0.0001
244,0.007272581414470918,0.0001
245,-0.008027596814887713,0.0001
246,-0.0012251044446422038,0.0001
247,0.01563223670318228,0.0001
248,0.014844711603212575,0.0001
249,-0.013136721241002909,0.0001
250,-0.0013681969778752583,0.0001
251,0.01062469829727107,0.0001
252,0.006582494344123665,0.0001
253,0.0020963238954422644,0.0001
254,-0.0020397349085463047,0.0001
255,-0.01826247305702379,0.0001
256,-0.005054794777480526,0.0001
257,0.0059119108806762076,0.0001
258,-0.003883799734847666,0.0001
259,-0.0076525286773481555,0.0001
260,0.0013445834770037762,0.0001
261,-0.0002945665646216862,0.0001
262,0.004682670391776037,0.0001
263,0.019278167569470924,0.0001
264,-0.010823067328839111,0.0001
265,8.202684459070686e-05,0.0001
266,0.0012794394635231307,0.0001
267,0.0025682445061018045,0.0001
268,0.014285579498723198,0.0001
269,0.0028215887423141787,0.0001
270,-0.01337239553461206,0.0001
271,-0.00996317655602982,0.0001
272,-0.005557279563504288,0.0001
273,0.0035259343701017666,0.0001
274,0.00047331588579518083,0.0001
275,0.008746960046487557,0.0001
276,0.017954587674824187,0.0001
277,-0.0009515304267718206,0.0001
278,-0.010440303370076929,0.0001
279,-0.003917365044917507,0.0001
280,-0.010718512491018158,0.0001
281,-0.01109745937333352,0.0001
282,-0.00285414344470498,0.0001
283,0.0005822411017832034,0.0001
284,0.004878247958361118,0.0001
285,-0.002206597651199613,0.0001
286,-0.008459677718113168,0.0001
287,0.011374096874731234,0.0001
288,0.0026521191643060268,0.0001
289,0.003505203106341236,0.0001
290,0.005306378380870911,0.0001
291,-0.01766741932087389,0.0001
292,0.002863880291710367,0.0001
293,0.004016397869405849,0.0001
294,0.0030660821400915563,0.0001
295,0.012124954447733703,0.0001
296,-0.002679150084781136,0.0001
297,0.01774824202503197,0.0001
298,-0.003165618418010859,0.0001
299,-0.0006718723747246356,0.0001
300,-0.008551089351594323,0.0001
301,0.013629474995420008,0.0001
302,0.003017979460471859,0.0001
303,-0.0063705453268310085,0.0001
304,0.006538711874052745,0.0001
305,-0.006753345531575324,0.0001
306,-0.015145205701858684,0.0001
307,-0.0060519379775457295,0.0001
308,0.018292984977877062,0.0001
309,-0.030111444108005515,0.0001
310,-0.010270279246285985,0.0001
311,-0.003138304818152725,0.0001
312,-0.010780946147620792,0.0001
313,-0.014703529783710733,0.0001
314,-0.011276862663308908,0.0001
315,-0.009896989679212355,0.0001
316,-0.011363098490341693,0.0001
317,-0.018578766017382318,0.0001
318,0.007893559785016787,0.0001
319,0.004482450929695056,0.0001
320,0.005452309195018287,0.0001
321,-0.004852239070155757,0.0001
322,0.004396836981277455,0.0001
323,0.013046214056392945,0.0001
324,0.0008674901487255561,0.0001
325,0.001921759998873602,0.0001
326,0.0008384128326436391,0.0001
327,-0.010465781065780945,0.0001
328,-0.005817771516741786,0.0001
329,-0.0008464570673237891,0.0001
330,-0.01819795518207709,0.0001
331,0.009703074586872118,0.0001
332,0.014730913546390025,0.0001
333,-0.00474953593551726,0.0001
334,-0.015414516517103407,0.0001
335,-0.013991601132202266,0.0001
336,0.004905393586747221,0.0001
337,0.0015259119596894555,0.0001
338,0.008096406969193429,0.0001
339,0.009991579855589282,0.0001
340,-0.00023288412822613125,0.0001
341,0.003520808603646032,0.0001
342,-0.009047428672147749,0.0001
343,-0.0014166030648337287,0.0001
344,-0.0067549097909535005,0.0001
345,-0.008158144876266562,0.0001
346,-0.0005124417371846298,0.0001
347,-0.002738894993164438,0.0001
348,0.010472830065057519,0.0001
349,0.00603445147964785,0.0001
350,0.0069225242943607036,0.0001
351,-0.005236258354525275,0.0001
352,-0.010413911444675381,0.0001
353,-0.0009264492874409974,0.0001
354,-0.000507562369779199,0.0001
355,-0.013834313659753177,0.0001
356,0.0026920619785599114,0.0001
357,-0.003584516010973828,0.0001
358,-0.008046340476389318,0.0001
359,-0.014580406940315833,0.0001
360,-0.004417263515290425,0.0001
361,0.008271180166400226,0.0001
362,-0.007980682367057656,0.0001
363,-0.004610866391803656,0.0001
364,-0.007938061627045504,0.0001
365,-0.015507417526358785,0.0001
366,-0.016911040971662645,0.0001
367,-0.02449326086948541,0.0001
368,0.0026158629195454693,0.0001
369,-0.0013334230188861154,0.0001
370,0.01291134932851283,0.0001
371,-0.009476297306929098,0.0001
372,0.0023930367419509753,0.0001
373,-0.014307923860555507,0.0001
374,-0.012003378519246145,0.0001
375,0.00980385760343327,0.0001
376,-0.018918655019523722,0.0001
377,-0.0017828696383668193,0.0001
378,-0.0029897055547344477,0.0001
379,-0.01751320049896396,0.0001
380,-0.009690813883911924,0.0001
381,-0.005570720824842449,0.0001
382,-0.018528677040722894,0.0001
383,-0.0011974268314679354,0.0001
384,-0.007875219880018559,0.0001
385,-0.00543740919694548,0.0001
386,0.0006446322653183848,0.0001
387,-0.01807119558084697,0.0001
388,0.01092039033286586,0.0001
389,-0.004446824349281043,0.0001
390,-0.00865439963518269,0.0001
391,0.010396558985389898,0.0001
392,0.011765162355015447,0.0001
393,0.014127398462584888,0.0001
394,-0.007223113133151456,0.0001
395,0.001999470375056028,0.0001
396,-0.0017447415644606965,0.0001
397,0.011649437846113133,0.0001
398,0.0023776604305979776,0.0001
399,-0.0107567728505234,0.0001
400,0.012515911875822355,0.0001
401,0.0003962039997297395,0.0001
402,0.008336575011226715,0.0001
403,0.007284168107561287,0.0001
404,-0.013774300504704852,0.0001
405,-0.002368042716257032,0.0001
406,-0.006314583769733149,0.0001
407,0.006807414586987796,0.0001
408,0.022292298952237145,0.0001
409,0.014551771099509938,0.0001
410,-0.0020633596946846937,0.0001
411,0.0022584241544220895,0.0001
412,-0.0012874400444766888,0.0001
413,0.0059356244481826815,0.0001
414,0.0021541306299836583,0.0001
415,0.002290076016994665,0.0001
416,-0.00810470594010636,0.0001
417,0.02540861026733676,0.0001
418,-0.005427402968462391,0.0001
419,0.0039059018635883977,0.0001
420,0.0021239280781691224,0.0001
421,-0.003576580520178824,0.0001
422,0.013287341226311365,0.0001
423,0.003774152578557338,0.0001
424,-0.008532622630208143,0.0001
425,-0.004822194967668851,0.0001
426,-0.0009502756197103373,0.0001
427,0.010605806845282615,0.0001
428,0.003472626213201673,0.0001
429,0.009251321171098977,0.0001
430,-0.0002548869382831445,0.0001
431,-0.0028493751572883476,0.0001
432,-0.014554695606863288,0.0001
433,0.005955147805032585,0.0001
434,-0.007952788624319538,0.0001
435,0.01611682444099906,0.0001
436,-0.0014335486225446937,0.0001
437,-0.006942851011729401,0.0001
438,0.0017406711462323806,0.0001
439,-0.007435152317954948,0.0001
440,0.005377222234593979,0.0001
441,0.0065524450203572485,0.0001
442,0.0003022847084863848,0.0001
443,-0.007037883135914205,0.0001
444,-0.012994625021671003,0.0001
445,0.0007254389149651922,0.0001
446,-0.008857960127986878,0.0001
447,0.005108125773934193,0.0001
448,-0.01108483286174602,0.0001
449,0.0013139235189595368,0.0001
450,-0.0003344332625209355,0.0001
451,0.0012728245509748362,0.0001
452,0.00410336400947713,0.0001
453,0.005738770016307078,0.0001
454,0.008634840547656357,0.0001
455,0.011909006674110656,0.0001
456,0.013964889960882075,0.0001
457,-0.0023484339368737223,0.0001
458,-0.0002022161962509772,0.0001
459,-0.0024455977898176964,0.0001
460,0.0011720995056723215,0.0001
461,-0.0066464204300160125,0.0001
462,-0.016332546692118137,0.0001
463,-0.007378634006663418,0.0001
464,-0.00575052445853783,0.0001
465,0.003827832256693481,0.0001
466,-0.013656405496522302,0.0001
467,-0.010499713157781785,0.0001
468,0.007829556591024118,0.0001
469,0.004011243205191275,0.0001
470,0.010299869763771327,0.0001
471,0.0018592240409803665,0.0001
472,-0.0067819031775564025,0.0001
473,0.005405153751103335,0.0001
474,0.0024149043465201193,0.0001
475,0.013416286264326033,0.0001
476,0.007621267763691177,0.0001
477,0.0031040308523800943,0.0001
478,-0.006405066851563189,0.0001
479,-0.0056629968107105655,0.0001
480,-0.002570651698003866,0.0001
481,-0.009149639928040316,0.0001
482,-0.02137218568271085,0.0001
483,0.012874741732200237,0.0001
484,-0.013079716930255066,0.0001
485,-0.006204386336395222,0.0001
486,0.009188375733097455,0.0001
487,0.0016364535013458517,0.0001
488,0.0005552672611563338,0.0001
489,0.007393061923271712,0.0001
490,-0.0021388409665614996,0.0001
491,0.01528681745399362,0.0001
492,0.0027107104348235915,0.0001
493,0.008744595349740729,0.0001
494,0.0016373015723376214,0.0001
495,-0.021692941652881874,0.0001
496,0.015372687493101446,0.0001
497,-0.009365058352907242,0.0001
498,0.00575798217228314,0.0001
499,0.011086597943047036,0.0001
500,0.0013575806816103365,0.0001
501,0.005240331278990655,0.0001
502,0.010096669949074401,0.0001
503,-0.012427666469916745,0.0001
504,-0.0016562956117469139,0.0001
505,0.0055091340881163854,0.0001
506,0.014760777125143397,0.0001
507,0.003294422012847292,0.0001
508,-0.004587330413798226,0.0001
509,0.0023702799702473914,0.0001
510,-0.004571242045808084,0.0001
511,0.00537715062145099,0.0001
512,0.0022932210282297586,0.0001
513,0.0035459742487950773,0.0001
514,-0.026585526637550587,0.0001
515,-0.0022162422565991805,0.0001
516,-0.008980354896876423,0.0001
517,0.01084089580414088,0.0001
518,0.004658670834304776,0.0001
519,-0.016935499442870813,0.0001
520,0.016493451769046222,0.0001
521,0.007863438641863207,0.0001
522,-0.005303141098570614,0.0001
523,-0.010743998405624343,0.0001
524,-0.012638366238453663,0.0001
525,0.004470937195583798,0.0001
526,-0.01470589976671319,0.0001
527,-0.011257597941380686,0.0001
528,-0.005589979785300989,0.0001
529,0.004594070040836134,0.0001
530,-0.0025891073241908285,0.0001
531,0.0006561571781807755,0.0001
532,0.0069254980931941846,0.0001
533,-0.004133712911010385,0.0001
534,-0.0099879302016381,0.0001
535,0.006847241997723855,0.0001
536,-0.009913859679009086,0.0001
537,0.001902586355545097,0.0001
538,0.0003930937605620177,0.0001
539,-0.011274655042179886,0.0001
540,-0.02140684219460401,0.0001
541,0.0012190326157021818,0.0001
542,0.011646697559501394,0.0001
543,0.028170117703154886,0.0001
544,-0.004429155017286963,0.0001
545,-0.00344965893588627,0.0001
546,-0.0012910827561535222,0.0001
547,-0.00838313258866174,0.0001
548,-0.0009766728081605377,0.0001
549,-0.00847959465833613,0.0001
550,0.013564569573539582,0.0001
551,0.010930493567289487,0.0001
552,0.0021784606401032236,0.0001
553,-0.00925511739135504,0.0001
554,0.006497221809793313,0.0001
555,0.01548665219912418,0.0001
556,0.01233501699324279,0.0001
557,-0.019605312394794572,0.0001
558,0.005728010249221536,0.0001
559,-0.013852632005324333,0.0001
560,0.0013897028266848918,0.0001
561,-0.007253221496649855,0.0001
562,0.011205962951385538,0.0001
563,0.0018012524072990618,0.0001
564,0.005152440400095811,0.0001
565,0.0007563805499130761,0.0001
566,0.005990612841775143,0.0001
567,-0.019473808614093608,0.0001
568,-0.012930789897858156,0.0001
569,-0.0029649857753016235,0.0001
570,-0.012461445352600806,0.0001
571,-0.009916566029009557,0.0001
572,0.010448498199842733,0.0001
573,-0.0004883992465307927,0.0001
574,0.0011363268428679317,0.0001
575,0.0010569639025094296,0.0001
576,-0.008930140146334515,0.0001
577,-0.00990045619504465,0.0001
578,0.0005326861043020867,0.0001
579,0.000545154488303757,0.0001
580,0.006471937955546624,0.0001
581,0.018637947789980333,0.0001
582,0.0042515490839670446,0.0001
583,0.01235541081462034,0.0001
584,0.013789094547732191,0.0001
585,-0.0004246346776945645,0.0001
586,0.0078090225195799135,0.0001
587,-0.0024227068305295234,0.0001
588,-0.01708109618767551,0.0001
589,-0.01583599651256253,0.0001
590,0.004719006218075037,0.0001
591,0.0028220803998822044,0.0001
592,0.00551059910916164,0.0001
